Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 v1.0,,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,F9 v1.0,,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.0,,8 December 2010,15:43
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0,,22 May 2012,07:44
2,CCAFS,Dragon,"4,700 kg",LEO,NASA,Success,F9 v1.0,,8 October 2012,00:35
3,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,NASA,Success,F9 v1.1,,1 March 2013,15:10
4,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,MDA,Success,F9 v1.1,,29 September 2013,16:00
5,VAFB,CASSIOPE,"3,170 kg",GTO,SES,Success,F9 v1.1,,3 December 2013,22:41
6,CCAFS,SES-8,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,,6 January 2014,22:06
7,CCAFS,Thaicom 6,"2,296 kg",LEO,NASA,Success,F9 v1.1,,18 April 2014,19:25
8,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,,14 July 2014,15:15
9,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,,5 August 2014,08:00
10,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,,7 September 2014,05:00
11,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,NASA,Success,F9 v1.1,,21 September 2014,05:52
12,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,NASA,Success,F9 v1.1,,10 January 2015,09:47
13,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,USAF,Success,F9 v1.1,,11 February 2015,23:03
14,Cape Canaveral,DSCOVR,"4,159 kg",GTO,ABS,Success,F9 v1.1,,2 March 2015,03:50
15,Cape Canaveral,ABS-3A,"1,898 kg",LEO,NASA,Success,F9 v1.1,,14 April 2015,20:10
16,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,,Success,F9 v1.1,,27 April 2015,23:03
17,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,Failure,F9 FT,,28 June 2015,14:21
18,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,Orbcomm,Success,F9 v1.1,,22 December 2015,01:29
19,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,NASA,Success,F9 FT,,17 January 2016,18:42
20,VAFB,Jason-3,"5,271 kg",GTO,SES,Success,F9 FT,,4 March 2016,23:35
